name,responsibilities
Cardiology,"Diagnose and treat heart and blood vessel disorders such as heart attacks, arrhythmias, and hypertension."
Neurology,"Diagnose and treat disorders of the nervous system including brain, spinal cord, and nerves."
Pediatrics,"Provide medical care for infants, children, and adolescents."
Psychiatry,Diagnose and treat mental health disorders through therapy and medication.
Orthopedics,"Treat musculoskeletal system issues including bones, joints, ligaments, and muscles."
Ophthalmology,Diagnose and treat eye diseases and perform eye surgeries.
Otolaryngology,"Treat conditions related to the ear, nose, throat, and related structures."
Gastroenterology,"Diagnose and treat digestive system disorders including stomach, intestines, and liver."
Pulmonology,"Manage respiratory system conditions such as asthma, bronchitis, and lung infections."
Nephrology,Treat kidney-related diseases and manage dialysis treatments.
Hematology,"Diagnose and treat blood disorders such as anemia, clotting disorders, and leukemia."
Rheumatology,Treat autoimmune and inflammatory diseases affecting joints and connective tissue.
Anesthesiology,Administer anesthesia and monitor patients during surgical procedures.
Radiology,"Use imaging techniques like X-rays, MRI, and CT scans to diagnose diseases."
Emergency Medicine,Provide immediate care for acute illnesses and injuries in emergency settings.
